Date,Open,High,Low,Close,Adjusted_close,Volume,SMA5,SMA21,SMA50,MACD,MACDS,RSI,ATRts,ATRts1,Gap,Price_Retrace,Macd_Retrace
2010-07-01,254.3,254.8,243.22,248.48,30.813,36534020,258.236,260.424238095238,257.66165,1.05643321654048,3.23203077822666,40.38699026680961,270.233997582487,262.947907811242,2.7700000000000093,0,0
2010-07-02,250.49,250.93,243.2,246.94,30.6219,24803483,254.284,259.653761904762,257.27106000000003,-0.098483783675874,2.5659278658461497,39.30380182909849,268.322442295544,261.088326248993,2.01000000000002,0,0
2010-07-06,251.0,252.8,246.16,248.63,30.8314,21972668,250.35,259.304476190476,256.82706,-0.8673961481339921,1.87926306305012,41.16856063596021,266.724948707151,259.345660999195,4.06,0,0
2010-07-07,250.49,258.77,249.75,258.665,32.0758,23377116,250.849,259.67233333333303,256.61036,-0.659422688400184,1.37152591276006,50.8287898312944,266.724948707151,259.345660999195,1.86000000000001,0,1
2010-07-08,262.48,262.9,254.89,258.09,32.0044,26362523,252.161,260.089476190476,256.53136,-0.534834676490277,0.990253794909994,50.3189373133525,266.724948707151,259.345660999195,3.815,0,0
2010-07-09,256.89,259.9,255.16,259.62,32.1943,15484791,254.389,260.871380952381,256.49176,-0.30907672212788395,0.7303876915024179,51.7070564623154,266.724948707151,259.345660999195,1.19999999999999,0,0
2010-07-12,258.53,261.85,254.86,257.285,31.9048,20102748,256.458,261.194,256.26466,-0.314946396378104,0.521320873926314,49.436842798071396,266.724948707151,248.22745725472998,1.09000000000003,-1,-1
2010-07-13,256.32,256.4,246.43,251.798,31.2243,42534094,257.0916,261.112476190476,256.07882,-0.753665412997179,0.26632361654161496,44.4932385702509,266.724948707151,248.22745725472998,0.965000000000032,0,0
2010-07-14,249.38,255.8,249.0,252.727,31.3398,29006112,255.904,261.038523809524,255.80636,-1.01469409652503,0.010120073928285,45.4871715946848,266.724948707151,248.22745725472998,2.41800000000001,0,0
2010-07-15,248.23,256.97,247.3,251.45,31.1812,29459407,254.576,260.646142857143,255.66176,-1.3095092292431298,-0.253805786705998,44.3125503684303,266.724948707151,248.22745725472998,4.49700000000001,0,0
2010-07-16,253.18,254.97,248.41,249.9,30.9892,37137768,252.632,259.819952380952,255.54006,-1.64921328787705,-0.5328872869402079,42.865633298785895,266.724948707151,248.22745725472998,1.73000000000002,0,0
